Date,Close,Signal,Position,Return,Strategy_Return,Cum_BuyHold,Cum_Strategy
2022-09-28 00:00:00-04:00,56.97999954,1,1.0,0.010642044317364485,0.010642044317364485,1391.185172827398,118.9597719708682
2022-09-29 00:00:00-04:00,56.56999969,1,1.0,-0.007195504621093862,-0.007195504621093862,1381.174893487521,118.10379638192755
2022-09-30 00:00:00-04:00,56.02000046,1,1.0,-0.009722454180908002,-0.009722454180908002,1367.746483869768,116.95553763301297
2022-10-03 00:00:00-04:00,56.65000153,1,1.0,0.01124600258527031,0.01124600258527031,1383.128164363362,118.27081991159551
2022-10-04 00:00:00-04:00,56.77999878,1,1.0,0.0022947439803890912,0.0022947439803890912,1386.3020893926414,118.54222116364332
2022-10-05 00:00:00-04:00,56.24000168,1,1.0,-0.009510340112761861,-0.009510340112761861,1373.117885023485,117.41484432265483
2022-10-06 00:00:00-04:00,55.02999878,1,1.0,-0.02151498691064757,-0.02151498691064757,1343.5752717004286,114.88866548393719
2022-10-07 00:00:00-04:00,54.50999832,0,1.0,-0.009449399809708603,-0.009449399809708603,1330.8792917836934,113.80303655017559
2022-10-10 00:00:00-04:00,54.38999939,0,0.0,-0.0022014113685263625,-0.0015,1327.9494789806245,113.63233199535033
2022-10-11 00:00:00-04:00,54.47999954,0,0.0,0.0016547187168483024,0.0,1330.1468618385227,113.63233199535033
2022-10-12 00:00:00-04:00,55.13999939,0,0.0,0.012114534793918663,0.0,1346.2609722772872,113.63233199535033
2022-10-13 00:00:00-04:00,55.86999893,0,0.0,0.013239019732967039,0.0,1364.0841478549896,113.63233199535033
2022-10-14 00:00:00-04:00,54.97999954,0,0.0,-0.01592982650876884,-0.0,1342.3545240362978,113.63233199535033
2022-10-17 00:00:00-04:00,55.68999863,0,0.0,0.012913770388147228,0.0,1359.6893821391932,113.63233199535033
2022-10-18 00:00:00-04:00,56.43999863,0,0.0,0.013467409201837865,0.0,1378.0008754358557,113.63233199535033
2022-10-19 00:00:00-04:00,55.95999908,0,0.0,-0.008504598895309967,-0.0,1366.2815307128878,113.63233199535033
2022-10-20 00:00:00-04:00,55.08000183,0,0.0,-0.015725469343592424,-0.0,1344.7961123869459,113.63233199535033
2022-10-21 00:00:00-04:00,55.95999908,0,0.0,0.015976710616605327,0.0,1366.281530712888,113.63233199535033
2022-10-24 00:00:00-04:00,57.56999969,0,0.0,0.02877056176677839,0.0,1405.5902178830718,113.63233199535033
2022-10-25 00:00:00-04:00,58.95000076,0,0.0,0.023970836849591004,0.0,1439.283391673328,113.63233199535033
